"","Aphanopetalum_resinosum","Cercidiphyllum_japonicum","Cotyledon_tomentosa","Cynomorium_songaricum","Daphniphyllum_calycinum","Itea_omeiensis","Kalanchoe_fedtschenkoi","Paeonia_anomala_subsp_Veitchii","Paeonia_delavayi","Penthorum_chinense","Ribes_takare","Vitis_vinifera","12|34","13|24","14|23","p_T3","p_star"
"234",0,1,0,0,1,1,0,0,0,0,1,0,465,6,7,0.781406071898767,9.96687131853074e-192
"235",0,1,0,0,1,1,0,0,0,0,0,1,482,37,30,0.392015992033247,7.02260340520682e-160
"236",0,1,0,0,1,0,1,1,0,0,0,0,166,40,89,1.24826354792155e-05,1.52106847171048e-18
"237",0,1,0,0,1,0,1,0,1,0,0,0,187,45,97,1.00996471197145e-05,3.63444772063168e-21
"238",0,1,0,0,1,0,1,0,0,1,0,0,272,7,0,0.00416,5.28690912065467e-113
"239",0,1,0,0,1,0,1,0,0,0,1,0,296,14,16,0.714899549231994,6.37995447443861e-106
"240",0,1,0,0,1,0,1,0,0,0,0,1,337,22,24,0.768047050890453,1.56970564996319e-112
"241",0,1,0,0,1,0,0,1,1,0,0,0,457,0,9,0.000919,1.31297234729563e-191
"242",0,1,0,0,1,0,0,1,0,1,0,0,243,104,46,1.60166976320237e-06,1.05258804935897e-34
"243",0,1,0,0,1,0,0,1,0,0,1,0,276,117,61,2.30293358379182e-05,1.99016496603906e-36
"244",0,1,0,0,1,0,0,1,0,0,0,1,313,142,71,9.02489405129492e-07,4.68405709192303e-39
"245",0,1,0,0,1,0,0,0,1,1,0,0,262,119,48,2.3664391782033e-08,8.26254256591361e-37
"246",0,1,0,0,1,0,0,0,1,0,1,0,297,132,65,1.42414384068303e-06,2.51258086225818e-38
"247",0,1,0,0,1,0,0,0,1,0,0,1,343,161,75,1.48540770204762e-08,7.35672570924918e-43
"248",0,1,0,0,1,0,0,0,0,1,1,0,405,9,17,0.11370649391363,1.29734281521798e-155
"249",0,1,0,0,1,0,0,0,0,1,0,1,438,27,25,0.781485030775656,3.55338284027986e-151
"250",0,1,0,0,1,0,0,0,0,0,1,1,492,42,33,0.298114205441692,5.37876265250846e-159
"251",0,1,0,0,0,1,1,1,0,0,0,0,28,22,321,0.395574394698995,2.53898204414194e-103
"252",0,1,0,0,0,1,1,0,1,0,0,0,26,18,370,0.226505478282177,8.11091547351403e-128
"253",0,1,0,0,0,1,1,0,0,1,0,0,305,27,15,0.0622342749284765,8.28461306315804e-102
"254",0,1,0,0,0,1,1,0,0,0,1,0,14,372,19,0.383171688347651,2.87276893647859e-136
